asin,title,imgUrl,productURL,stars,reviews,price,listPrice,isBestSeller,boughtInLastMonth,id,category_name
B00IKMCF58,"HELLA H7 Standard Halogen Bulb, 12 V, 55W",https://m.media-amazon.com/images/I/81X3hR+lVOL._AC_UL320_.jpg,https://www.amazon.com/dp/B00IKMCF58,4.5,0,4.5,0.0,False,600,22,"Lights, Bulbs & Indicators"
B0C21MN99H,"AMERICAN MUTT TOOLS Welding Chipping Hammer – 14 oz Welding Hammer Chipping Slag – Slag Hammer, Chipping Hammer Welding, Welder Hammer, Welding Chipping Hammer, Welders Chipping Hammer",https://m.media-amazon.com/images/I/916jYE37AnL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C21MN99H,4.5,0,28.99,0.0,False,300,146,Industrial Power & Hand Tools
B0BT9GMHJL,2 Piece Tennis Dress for Women High Waist Pleated Tennis Skirt with Shorts Short Sleeve Crop Golf Workout Skirts Sets,https://m.media-amazon.com/images/I/41BA+PhtveL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BT9GMHJL,4.2,0,39.99,0.0,False,0,116,Women's Clothing
B0000CBJ6S,General Purpose Paint Sprayer Gun - Pattern and Fluid Control handheld Sprayer w/ 32-ounce Anti-Drip Canister (Campbell Hausfeld DH650001AV),https://m.media-amazon.com/images/I/61h1MiMJE8L._AC_UL320_.jpg,https://www.amazon.com/dp/B0000CBJ6S,4.0,0,53.35,0.0,False,0,14,Automotive Paint & Paint Supplies
B09VB4KXXR,Anatomy Cardiologist Gift Anatomical Heart Necklace 3D Human Heart Necklace for Medical Personnel With Message Card,https://m.media-amazon.com/images/I/81GjbAxKH-L._AC_UL320_.jpg,https://www.amazon.com/dp/B09VB4KXXR,4.3,0,12.89,0.0,False,0,155,Science Education Supplies
B0BKCL4C3N,"Breathable Muslin and Silky Soft Bamboo Fitted Crib Sheet Ultimate Quality for Baby Boy or Girl Toddler (52""x28""x7"") Cream and Pink Grass Flower Silhouette",https://m.media-amazon.com/images/I/71XYkc+7a9L._AC_UL320_.jpg,https://www.amazon.com/dp/B0BKCL4C3N,4.7,0,18.99,0.0,False,0,41,"Nursery Furniture, Bedding & Décor"
B0C9TJNXLM,HEPA Replacement Filter Compatible with Afloia KILO/KILOPLUS/KILOPRO/MIRO/MIRO PRO，2 Packs,https://m.media-amazon.com/images/I/713dF11QQzL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C9TJNXLM,5.0,0,29.79,0.0,False,0,171,"Heating, Cooling & Air Quality"
B01MCTUIUN,"Blue Demon BDTP-125-01T Triple Play Low Temp Aluminum-Zinc Brazing Rod 1/8"" x 18"" 1 Lb Tube,",https://m.media-amazon.com/images/I/61fAiQm1ApL._AC_UL320_.jpg,https://www.amazon.com/dp/B01MCTUIUN,4.2,0,18.99,21.05,False,100,214,Welding & Soldering
B081DGR4KV,YOHKOH 5 Wire Shelving Metal Rack Adjustable Unit Storage Shelves for Laundry Bathroom Kitchen Pantry Closet Silver,https://m.media-amazon.com/images/I/513fslKdDlS._AC_UL320_.jpg,https://www.amazon.com/dp/B081DGR4KV,4.4,0,32.99,34.99,False,300,173,Home Storage & Organization
B0B2XLWBNS,The Local Polo,https://m.media-amazon.com/images/I/71vwzBuFWuL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B2XLWBNS,4.4,34,98.0,0.0,False,0,110,Men's Clothing
B08GJ2S1L8,30 Pieces Christmas Fabric Bundle Sewing Square Patchwork Precut Fabric Scrap Craft Fabric Bundle Patchwork Floral Printed Squares 10 x 10 Inch for DIY Christmas Stocking Tree Coaster,https://m.media-amazon.com/images/I/81ng9mHfzHL._AC_UL320_.jpg,https://www.amazon.com/dp/B08GJ2S1L8,4.3,0,12.99,0.0,False,0,7,Craft & Hobby Fabric
B0BRD2L9XF,Smart Watches for Men (Answer/Make Call) 5ATM Waterproof Military Smart Watch Fitness Tracker with Heart Rate Sleep Monitor Rugged Smartwatch for Android iOS Phones Tactical Outdoor Watch Step Counter,https://m.media-amazon.com/images/I/61S8KomX6CL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BRD2L9XF,3.8,22,49.99,0.0,False,0,68,Wearable Technology
B08X74SXT2,uxcell 5pcs Nylon Hinges 36x20mm for Remote Control RC Airplanes Parts Model Replacement,https://m.media-amazon.com/images/I/61apos48I+L._AC_UL320_.jpg,https://www.amazon.com/dp/B08X74SXT2,,0,5.49,6.49,False,0,138,Commercial Door Products
B002SSCEPG,"Fowler 54-440-775-1, Digi-Level Pro Digital Protractor - 12""",https://m.media-amazon.com/images/I/81gwxC0C1LL._AC_UL320_.jpg,https://www.amazon.com/dp/B002SSCEPG,4.5,0,137.95,0.0,False,0,213,Measuring & Layout
B00HRDKNZU,"Crucial Air Replacement Air Purifier Filter Compatible with Idylis A Filter Part # IAP-10-100, IAP-10-150 - Pair with HEPA Style Filters Model IAF-H-100A - Bulk (2 Pack)",https://m.media-amazon.com/images/I/71tOT1cjQ5L._AC_UL320_.jpg,https://www.amazon.com/dp/B00HRDKNZU,4.5,0,27.0,28.5,False,0,171,"Heating, Cooling & Air Quality"
B00HRSTTMI,"Dorman 604-024 HVAC Blend Door Actuator Compatible with Select Models, 1 Count (Pack of 1)",https://m.media-amazon.com/images/I/91gMfPw6mdL._AC_UL320_.jpg,https://www.amazon.com/dp/B00HRSTTMI,4.3,0,18.69,0.0,False,100,21,Automotive Replacement Parts
B0BSG3PBLS,Dogtra PATHFINDER 2 MINI Additional Receiver Dog GPS Tracker e Collar Black LED Light No monthly fees Free App Waterproof Smartwatch control Satellite Real Time tracking long range Smartphone required,https://m.media-amazon.com/images/I/71D8A0oUWQL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BSG3PBLS,5.0,0,269.99,0.0,False,0,70,GPS & Navigation
B097BZM68H,Butterfly Necklace Sterling Silver Faith Pendant Necklace Cross Jewelry Butterfly Gifts for Womens Girls,https://m.media-amazon.com/images/I/51DcE9BD4kS._AC_UL320_.jpg,https://www.amazon.com/dp/B097BZM68H,4.9,29,31.99,0.0,False,0,95,Girls' Jewelry
B0B625N5DP,"Barbie Pup Adoption Doll & Accessories Set with Color-Change, 2 Pets, Carrier & 10 Accessories, Brunette Doll in Purple Dress",https://m.media-amazon.com/images/I/610DfcXsPEL._AC_UL320_.jpg,https://www.amazon.com/dp/B0B625N5DP,4.8,0,16.59,22.99,True,400,270,Toys & Games
B00EUNAJC2,ZEBRA GX420t Thermal Transfer Desktop Printer Print Width of 4 in USB Serial and Ethernet Port Connectivity GX42-102410-000,https://m.media-amazon.com/images/I/71ZoV0CE4FL._AC_UL320_.jpg,https://www.amazon.com/dp/B00EUNAJC2,3.8,21,653.0,944.0,False,0,72,Office Electronics
B0C73YDK1Y,Heart Earrings Y2K Love Heart Big Hoop Cute Fun Dangle Earrings,https://m.media-amazon.com/images/I/51xPxcEl8QL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C73YDK1Y,4.6,0,5.99,0.0,False,200,123,Women's Jewelry
